Title,Sumary,Sumary Length,Sections Length,Text Length,Word Count,Language Count,Pageviews
The Time of Our Lives (season 1),"The first season of the Australian drama television series The Time of Our Lives, began airing on 16",228,3,1125,190,1,"{'2023-10-24': 1, '2023-10-25': 2, '2023-10-26': 4, '2023-10-27': 1, '2023-10-28': 1, '2023-10-29': 2, '2023-10-30': 1, '2023-10-31': 0, '2023-11-01': 1, '2023-11-02': 0, '2023-11-03': 0, '2023-11-04': 1, '2023-11-05': 0, '2023-11-06': 0, '2023-11-07': 7, '2023-11-08': 0, '2023-11-09': 0, '2023-11-10': 2, '2023-11-11': 1, '2023-11-12': 4, '2023-11-13': 5, '2023-11-14': 2, '2023-11-15': 0, '2023-11-16': 0, '2023-11-17': 0, '2023-11-18': 5, '2023-11-19': 0, '2023-11-20': 0, '2023-11-21': 3, '2023-11-22': 5, '2023-11-23': 0, '2023-11-24': 1, '2023-11-25': 2, '2023-11-26': 1, '2023-11-27': 4, '2023-11-28': None, '2023-11-29': 0, '2023-11-30': 5, '2023-12-01': None, '2023-12-02': 0, '2023-12-03': 2, '2023-12-04': 1, '2023-12-05': None, '2023-12-06': None, '2023-12-07': None, '2023-12-08': None, '2023-12-09': 3, '2023-12-10': None, '2023-12-11': 2, '2023-12-12': 2, '2023-12-13': 3, '2023-12-14': 16, '2023-12-15': 4, '2023-12-16': 2, '2023-12-17': 5, '2023-12-18': 5, '2023-12-19': 1, '2023-12-20': None, '2023-12-21': 2, '2023-12-22': None}"
Notocotylus,Notocotylus is a genus of trematodes belonging to the family Notocotylidae.The genus has almost cosm,122,1,273,33,7,"{'2023-10-24': None, '2023-10-25': None, '2023-10-26': 3, '2023-10-27': 1, '2023-10-28': None, '2023-10-29': 2, '2023-10-30': 1, '2023-10-31': 1, '2023-11-01': 1, '2023-11-02': None, '2023-11-03': 4, '2023-11-04': 0, '2023-11-05': None, '2023-11-06': 1, '2023-11-07': 0, '2023-11-08': 1, '2023-11-09': None, '2023-11-10': 3, '2023-11-11': 1, '2023-11-12': None, '2023-11-13': None, '2023-11-14': None, '2023-11-15': 0, '2023-11-16': 0, '2023-11-17': None, '2023-11-18': 0, '2023-11-19': 2, '2023-11-20': 1, '2023-11-21': 0, '2023-11-22': 5, '2023-11-23': 2, '2023-11-24': 1, '2023-11-25': None, '2023-11-26': None, '2023-11-27': None, '2023-11-28': 1, '2023-11-29': 2, '2023-11-30': 1, '2023-12-01': 2, '2023-12-02': None, '2023-12-03': 0, '2023-12-04': 2, '2023-12-05': None, '2023-12-06': None, '2023-12-07': 0, '2023-12-08': 1, '2023-12-09': None, '2023-12-10': None, '2023-12-11': 3, '2023-12-12': 1, '2023-12-13': 2, '2023-12-14': 2, '2023-12-15': 1, '2023-12-16': 2, '2023-12-17': 2, '2023-12-18': 0, '2023-12-19': None, '2023-12-20': 2, '2023-12-21': 0, '2023-12-22': None}"
2015 British Rowing Junior Championships,The 2015 British Rowing Junior Championships were the 44th edition of the National Junior Championsh,289,1,323,49,1,"{'2023-10-24': None, '2023-10-25': None, '2023-10-26': 1, '2023-10-27': None, '2023-10-28': 0, '2023-10-29': 0, '2023-10-30': 0, '2023-10-31': 0, '2023-11-01': 0, '2023-11-02': 1, '2023-11-03': 0, '2023-11-04': 0, '2023-11-05': 0, '2023-11-06': 0, '2023-11-07': 0, '2023-11-08': 0, '2023-11-09': 0, '2023-11-10': 0, '2023-11-11': 0, '2023-11-12': 0, '2023-11-13': None, '2023-11-14': 0, '2023-11-15': 1, '2023-11-16': 1, '2023-11-17': 0, '2023-11-18': 0, '2023-11-19': None, '2023-11-20': 0, '2023-11-21': 0, '2023-11-22': 0, '2023-11-23': 1, '2023-11-24': None, '2023-11-25': 0, '2023-11-26': 1, '2023-11-27': 0, '2023-11-28': 0, '2023-11-29': 1, '2023-11-30': 0, '2023-12-01': 0, '2023-12-02': 1, '2023-12-03': 1, '2023-12-04': 0, '2023-12-05': 0, '2023-12-06': 0, '2023-12-07': 1, '2023-12-08': 0, '2023-12-09': None, '2023-12-10': None, '2023-12-11': 2, '2023-12-12': 0, '2023-12-13': 0, '2023-12-14': 0, '2023-12-15': 0, '2023-12-16': 0, '2023-12-17': 0, '2023-12-18': 0, '2023-12-19': 0, '2023-12-20': 1, '2023-12-21': 0, '2023-12-22': 0}"
Argentine Film Critics Association,The Argentine Film Critics Association (Spanish: Asociación de Cronistas Cinematográficos de la Arge,613,4,1533,229,8,"{'2023-10-24': 2, '2023-10-25': 2, '2023-10-26': 4, '2023-10-27': 6, '2023-10-28': 3, '2023-10-29': 8, '2023-10-30': 4, '2023-10-31': 1, '2023-11-01': 6, '2023-11-02': 5, '2023-11-03': 10, '2023-11-04': 1, '2023-11-05': 6, '2023-11-06': 6, '2023-11-07': 9, '2023-11-08': 3, '2023-11-09': 3, '2023-11-10': 0, '2023-11-11': 3, '2023-11-12': 7, '2023-11-13': 4, '2023-11-14': 8, '2023-11-15': 17, '2023-11-16': 8, '2023-11-17': 4, '2023-11-18': 8, '2023-11-19': 4, '2023-11-20': 7, '2023-11-21': 11, '2023-11-22': 10, '2023-11-23': 2, '2023-11-24': 0, '2023-11-25': 4, '2023-11-26': 6, '2023-11-27': 3, '2023-11-28': 2, '2023-11-29': 7, '2023-11-30': 2, '2023-12-01': 1, '2023-12-02': 7, '2023-12-03': 6, '2023-12-04': 5, '2023-12-05': 5, '2023-12-06': 4, '2023-12-07': 4, '2023-12-08': 6, '2023-12-09': 2, '2023-12-10': 3, '2023-12-11': 9, '2023-12-12': 3, '2023-12-13': 9, '2023-12-14': 6, '2023-12-15': 6, '2023-12-16': 3, '2023-12-17': 9, '2023-12-18': 8, '2023-12-19': 4, '2023-12-20': 5, '2023-12-21': 3, '2023-12-22': 0}"
Takeo Doi (aircraft designer),"Takeo Doi (土井 武夫, Doi Takeo, 31 October 1904 – 24 December 1996) was a Japanese aircraft designer. 
",443,5,5274,796,6,"{'2023-10-24': 8, '2023-10-25': 15, '2023-10-26': 3, '2023-10-27': 4, '2023-10-28': 6, '2023-10-29': 12, '2023-10-30': 9, '2023-10-31': 9, '2023-11-01': 9, '2023-11-02': 10, '2023-11-03': 3, '2023-11-04': 6, '2023-11-05': 13, '2023-11-06': 2, '2023-11-07': 7, '2023-11-08': 8, '2023-11-09': 4, '2023-11-10': 3, '2023-11-11': 6, '2023-11-12': 12, '2023-11-13': 11, '2023-11-14': 8, '2023-11-15': 6, '2023-11-16': 11, '2023-11-17': 11, '2023-11-18': 8, '2023-11-19': 7, '2023-11-20': 5, '2023-11-21': 5, '2023-11-22': 5, '2023-11-23': 4, '2023-11-24': 6, '2023-11-25': 9, '2023-11-26': 10, '2023-11-27': 5, '2023-11-28': 7, '2023-11-29': 6, '2023-11-30': 9, '2023-12-01': 12, '2023-12-02': 13, '2023-12-03': 5, '2023-12-04': 12, '2023-12-05': 6, '2023-12-06': 11, '2023-12-07': 11, '2023-12-08': 12, '2023-12-09': 5, '2023-12-10': 3, '2023-12-11': 10, '2023-12-12': 13, '2023-12-13': 8, '2023-12-14': 8, '2023-12-15': 11, '2023-12-16': 10, '2023-12-17': 5, '2023-12-18': 4, '2023-12-19': 9, '2023-12-20': 8, '2023-12-21': 15, '2023-12-22': 10}"
June 1954 Iraqi parliamentary election,"Parliamentary elections were held in Iraq on 9 June 1954, although they were delayed until 14 June i",442,2,691,108,2,"{'2023-10-24': 0, '2023-10-25': 3, '2023-10-26': 2, '2023-10-27': 4, '2023-10-28': 3, '2023-10-29': 2, '2023-10-30': 7, '2023-10-31': 6, '2023-11-01': 12, '2023-11-02': 4, '2023-11-03': 12, '2023-11-04': 2, '2023-11-05': 2, '2023-11-06': 4, '2023-11-07': 5, '2023-11-08': 4, '2023-11-09': 3, '2023-11-10': 2, '2023-11-11': 7, '2023-11-12': 2, '2023-11-13': 2, '2023-11-14': 4, '2023-11-15': 4, '2023-11-16': 12, '2023-11-17': 4, '2023-11-18': 2, '2023-11-19': 6, '2023-11-20': 3, '2023-11-21': 1, '2023-11-22': 3, '2023-11-23': 6, '2023-11-24': 9, '2023-11-25': 5, '2023-11-26': 2, '2023-11-27': 2, '2023-11-28': 5, '2023-11-29': 5, '2023-11-30': 1, '2023-12-01': 4, '2023-12-02': 2, '2023-12-03': 6, '2023-12-04': 7, '2023-12-05': 4, '2023-12-06': 3, '2023-12-07': 5, '2023-12-08': 3, '2023-12-09': 6, '2023-12-10': 4, '2023-12-11': 4, '2023-12-12': 10, '2023-12-13': 6, '2023-12-14': 5, '2023-12-15': 4, '2023-12-16': 4, '2023-12-17': 5, '2023-12-18': 8, '2023-12-19': 8, '2023-12-20': 5, '2023-12-21': 5, '2023-12-22': 7}"
Roswitha Blind,"Roswitha Blind (also published as Roswitha Hammer) is a German mathematician, specializing in convex",247,2,1597,238,1,"{'2023-10-24': 1, '2023-10-25': 1, '2023-10-26': 2, '2023-10-27': 1, '2023-10-28': None, '2023-10-29': 1, '2023-10-30': 1, '2023-10-31': None, '2023-11-01': None, '2023-11-02': 0, '2023-11-03': 1, '2023-11-04': 1, '2023-11-05': 0, '2023-11-06': 0, '2023-11-07': None, '2023-11-08': 0, '2023-11-09': 3, '2023-11-10': 0, '2023-11-11': 1, '2023-11-12': 0, '2023-11-13': None, '2023-11-14': 2, '2023-11-15': 0, '2023-11-16': 2, '2023-11-17': None, '2023-11-18': 1, '2023-11-19': 2, '2023-11-20': 2, '2023-11-21': None, '2023-11-22': 0, '2023-11-23': 2, '2023-11-24': 3, '2023-11-25': 0, '2023-11-26': 1, '2023-11-27': 2, '2023-11-28': 1, '2023-11-29': None, '2023-11-30': 0, '2023-12-01': None, '2023-12-02': 1, '2023-12-03': 2, '2023-12-04': 1, '2023-12-05': 6, '2023-12-06': 0, '2023-12-07': 0, '2023-12-08': 0, '2023-12-09': 1, '2023-12-10': 1, '2023-12-11': 1, '2023-12-12': 6, '2023-12-13': 1, '2023-12-14': 0, '2023-12-15': 0, '2023-12-16': 0, '2023-12-17': 1, '2023-12-18': 0, '2023-12-19': 1, '2023-12-20': None, '2023-12-21': 2, '2023-12-22': 0}"
William Pecche,Sir William Pecche (9 February 1359 – 1399) was an English Member of Parliament.,80,2,364,64,1,"{'2023-10-24': 0, '2023-10-25': 0, '2023-10-26': 0, '2023-10-27': 0, '2023-10-28': 0, '2023-10-29': 0, '2023-10-30': 0, '2023-10-31': 1, '2023-11-01': 0, '2023-11-02': 0, '2023-11-03': 0, '2023-11-04': 1, '2023-11-05': 1, '2023-11-06': 0, '2023-11-07': 0, '2023-11-08': 0, '2023-11-09': 0, '2023-11-10': 0, '2023-11-11': 0, '2023-11-12': 0, '2023-11-13': 0, '2023-11-14': 0, '2023-11-15': 0, '2023-11-16': 0, '2023-11-17': 0, '2023-11-18': 0, '2023-11-19': 3, '2023-11-20': 0, '2023-11-21': 0, '2023-11-22': 0, '2023-11-23': 0, '2023-11-24': 0, '2023-11-25': 0, '2023-11-26': 0, '2023-11-27': 0, '2023-11-28': 0, '2023-11-29': 0, '2023-11-30': 0, '2023-12-01': 0, '2023-12-02': 0, '2023-12-03': 2, '2023-12-04': 0, '2023-12-05': 1, '2023-12-06': 0, '2023-12-07': 0, '2023-12-08': 2, '2023-12-09': 0, '2023-12-10': 0, '2023-12-11': 1, '2023-12-12': 0, '2023-12-13': 0, '2023-12-14': 0, '2023-12-15': 0, '2023-12-16': 0, '2023-12-17': 0, '2023-12-18': 0, '2023-12-19': 0, '2023-12-20': 0, '2023-12-21': 1, '2023-12-22': 0}"
Sandared,"Sandared is a locality situated in Borås Municipality, Västra Götaland County, Sweden. It had 3,160 ",120,1,227,34,17,"{'2023-10-24': 1, '2023-10-25': 1, '2023-10-26': 1, '2023-10-27': 1, '2023-10-28': 2, '2023-10-29': 1, '2023-10-30': 2, '2023-10-31': 2, '2023-11-01': 0, '2023-11-02': 2, '2023-11-03': 3, '2023-11-04': 0, '2023-11-05': 1, '2023-11-06': 0, '2023-11-07': 2, '2023-11-08': 1, '2023-11-09': 1, '2023-11-10': 1, '2023-11-11': 1, '2023-11-12': 1, '2023-11-13': 1, '2023-11-14': 2, '2023-11-15': 1, '2023-11-16': 0, '2023-11-17': 1, '2023-11-18': 3, '2023-11-19': 0, '2023-11-20': 0, '2023-11-21': 0, '2023-11-22': 1, '2023-11-23': 1, '2023-11-24': 2, '2023-11-25': 0, '2023-11-26': 1, '2023-11-27': None, '2023-11-28': 1, '2023-11-29': 0, '2023-11-30': 1, '2023-12-01': 2, '2023-12-02': 0, '2023-12-03': 0, '2023-12-04': 1, '2023-12-05': 1, '2023-12-06': 1, '2023-12-07': 1, '2023-12-08': 0, '2023-12-09': 1, '2023-12-10': 1, '2023-12-11': 2, '2023-12-12': 0, '2023-12-13': 1, '2023-12-14': 2, '2023-12-15': 0, '2023-12-16': 0, '2023-12-17': 1, '2023-12-18': 2, '2023-12-19': 1, '2023-12-20': 1, '2023-12-21': 2, '2023-12-22': 2}"
Cardiff Festivals,"Cardiff Festivals are a series of festivals held in the capital of Wales, Cardiff and nearby areas e",386,0,386,57,1,"{'2023-10-24': None, '2023-10-25': 0, '2023-10-26': 1, '2023-10-27': 0, '2023-10-28': 0, '2023-10-29': 0, '2023-10-30': None, '2023-10-31': None, '2023-11-01': 0, '2023-11-02': None, '2023-11-03': 0, '2023-11-04': 1, '2023-11-05': 1, '2023-11-06': 0, '2023-11-07': 1, '2023-11-08': None, '2023-11-09': 1, '2023-11-10': 0, '2023-11-11': None, '2023-11-12': 1, '2023-11-13': 1, '2023-11-14': 1, '2023-11-15': 0, '2023-11-16': 2, '2023-11-17': 0, '2023-11-18': 1, '2023-11-19': 2, '2023-11-20': 0, '2023-11-21': 0, '2023-11-22': 2, '2023-11-23': 0, '2023-11-24': 0, '2023-11-25': 1, '2023-11-26': 1, '2023-11-27': 1, '2023-11-28': 1, '2023-11-29': 1, '2023-11-30': None, '2023-12-01': 2, '2023-12-02': None, '2023-12-03': 0, '2023-12-04': 0, '2023-12-05': 0, '2023-12-06': 8, '2023-12-07': 0, '2023-12-08': 0, '2023-12-09': 0, '2023-12-10': None, '2023-12-11': 0, '2023-12-12': 3, '2023-12-13': 0, '2023-12-14': 0, '2023-12-15': 0, '2023-12-16': 0, '2023-12-17': None, '2023-12-18': 0, '2023-12-19': None, '2023-12-20': 2, '2023-12-21': 0, '2023-12-22': 0}"
Southern Cross Transit,Southern Cross Transit is an Australian operator of school bus and charter services in the western s,156,4,797,126,1,"{'2023-10-24': 2, '2023-10-25': 2, '2023-10-26': 1, '2023-10-27': 1, '2023-10-28': 1, '2023-10-29': 0, '2023-10-30': 0, '2023-10-31': 0, '2023-11-01': 3, '2023-11-02': 0, '2023-11-03': 0, '2023-11-04': 0, '2023-11-05': 0, '2023-11-06': 1, '2023-11-07': 0, '2023-11-08': 0, '2023-11-09': 1, '2023-11-10': 0, '2023-11-11': 2, '2023-11-12': 0, '2023-11-13': 0, '2023-11-14': 0, '2023-11-15': 0, '2023-11-16': 0, '2023-11-17': 1, '2023-11-18': 0, '2023-11-19': 0, '2023-11-20': 0, '2023-11-21': 1, '2023-11-22': 0, '2023-11-23': 0, '2023-11-24': 1, '2023-11-25': 0, '2023-11-26': 2, '2023-11-27': None, '2023-11-28': 1, '2023-11-29': 3, '2023-11-30': 3, '2023-12-01': 2, '2023-12-02': 0, '2023-12-03': 1, '2023-12-04': 0, '2023-12-05': 1, '2023-12-06': 0, '2023-12-07': 0, '2023-12-08': 1, '2023-12-09': 1, '2023-12-10': 0, '2023-12-11': 0, '2023-12-12': None, '2023-12-13': 3, '2023-12-14': 0, '2023-12-15': None, '2023-12-16': 0, '2023-12-17': 1, '2023-12-18': None, '2023-12-19': 0, '2023-12-20': 0, '2023-12-21': 0, '2023-12-22': None}"
Qullqi (Lima),"Qullqi (Aymara and Quechua for silver, Hispanicized spelling Colqui) is a 5,038-metre-high (16,529 f",385,0,385,61,2,"{'2023-10-24': 0, '2023-10-25': 0, '2023-10-26': 0, '2023-10-27': 0, '2023-10-28': 0, '2023-10-29': 0, '2023-10-30': 0, '2023-10-31': 1, '2023-11-01': 0, '2023-11-02': 0, '2023-11-03': 0, '2023-11-04': 0, '2023-11-05': 0, '2023-11-06': 1, '2023-11-07': 0, '2023-11-08': 0, '2023-11-09': 0, '2023-11-10': 0, '2023-11-11': 0, '2023-11-12': 0, '2023-11-13': 0, '2023-11-14': 0, '2023-11-15': 0, '2023-11-16': 0, '2023-11-17': 0, '2023-11-18': 0, '2023-11-19': 0, '2023-11-20': 0, '2023-11-21': 1, '2023-11-22': 0, '2023-11-23': 0, '2023-11-24': 0, '2023-11-25': 0, '2023-11-26': 0, '2023-11-27': 0, '2023-11-28': 0, '2023-11-29': 0, '2023-11-30': 0, '2023-12-01': 0, '2023-12-02': 0, '2023-12-03': 0, '2023-12-04': 0, '2023-12-05': 0, '2023-12-06': 0, '2023-12-07': 0, '2023-12-08': 0, '2023-12-09': 0, '2023-12-10': 0, '2023-12-11': 0, '2023-12-12': 0, '2023-12-13': 0, '2023-12-14': 0, '2023-12-15': 0, '2023-12-16': 0, '2023-12-17': 0, '2023-12-18': 0, '2023-12-19': 0, '2023-12-20': 0, '2023-12-21': 0, '2023-12-22': 0}"
International reactions to the Gaza War (2008–2009),International reaction to the Gaza War 2008-2009 came from many countries and international organisa,323,8,11320,1736,7,"{'2023-10-24': 22, '2023-10-25': 29, '2023-10-26': 21, '2023-10-27': 16, '2023-10-28': 21, '2023-10-29': 12, '2023-10-30': 20, '2023-10-31': 11, '2023-11-01': 14, '2023-11-02': 20, '2023-11-03': 18, '2023-11-04': 23, '2023-11-05': 10, '2023-11-06': 13, '2023-11-07': 16, '2023-11-08': 13, '2023-11-09': 10, '2023-11-10': 9, '2023-11-11': 19, '2023-11-12': 26, '2023-11-13': 15, '2023-11-14': 10, '2023-11-15': 10, '2023-11-16': 2, '2023-11-17': 9, '2023-11-18': 10, '2023-11-19': 5, '2023-11-20': 10, '2023-11-21': 9, '2023-11-22': 22, '2023-11-23': 8, '2023-11-24': 7, '2023-11-25': 6, '2023-11-26': 2, '2023-11-27': 5, '2023-11-28': 4, '2023-11-29': 2, '2023-11-30': 5, '2023-12-01': 4, '2023-12-02': 5, '2023-12-03': 2, '2023-12-04': 2, '2023-12-05': 2, '2023-12-06': 3, '2023-12-07': 2, '2023-12-08': 10, '2023-12-09': 4, '2023-12-10': 9, '2023-12-11': 12, '2023-12-12': 10, '2023-12-13': 10, '2023-12-14': 8, '2023-12-15': 3, '2023-12-16': 4, '2023-12-17': 9, '2023-12-18': 4, '2023-12-19': 4, '2023-12-20': 9, '2023-12-21': 3, '2023-12-22': 7}"
Armillaria nabsnona,Armillaria nabsnona is a species of fungus in the family Physalacriaceae. The species is found in th,365,7,3794,601,3,"{'2023-10-24': 15, '2023-10-25': 10, '2023-10-26': 8, '2023-10-27': 11, '2023-10-28': 9, '2023-10-29': 13, '2023-10-30': 11, '2023-10-31': 5, '2023-11-01': 17, '2023-11-02': 7, '2023-11-03': 7, '2023-11-04': 5, '2023-11-05': 9, '2023-11-06': 4, '2023-11-07': 6, '2023-11-08': 6, '2023-11-09': 6, '2023-11-10': 3, '2023-11-11': 5, '2023-11-12': 9, '2023-11-13': 8, '2023-11-14': 1, '2023-11-15': 5, '2023-11-16': 2, '2023-11-17': 4, '2023-11-18': 6, '2023-11-19': 4, '2023-11-20': 4, '2023-11-21': 6, '2023-11-22': 4, '2023-11-23': 0, '2023-11-24': 2, '2023-11-25': 2, '2023-11-26': 7, '2023-11-27': 2, '2023-11-28': 3, '2023-11-29': 3, '2023-11-30': 4, '2023-12-01': 2, '2023-12-02': 4, '2023-12-03': 5, '2023-12-04': 7, '2023-12-05': 1, '2023-12-06': 1, '2023-12-07': 2, '2023-12-08': 1, '2023-12-09': 1, '2023-12-10': 4, '2023-12-11': 7, '2023-12-12': 6, '2023-12-13': 5, '2023-12-14': 9, '2023-12-15': 2, '2023-12-16': 4, '2023-12-17': 7, '2023-12-18': 3, '2023-12-19': 9, '2023-12-20': 10, '2023-12-21': 2, '2023-12-22': 4}"
Driverless,"Driverless may refer to:

A computer able to configure itself, without explicit driver software, see",327,0,327,48,3,"{'2023-10-24': 0, '2023-10-25': 0, '2023-10-26': 1, '2023-10-27': 15, '2023-10-28': 3, '2023-10-29': 1, '2023-10-30': 2, '2023-10-31': 0, '2023-11-01': 1, '2023-11-02': 2, '2023-11-03': 3, '2023-11-04': 2, '2023-11-05': 1, '2023-11-06': 3, '2023-11-07': 2, '2023-11-08': 0, '2023-11-09': 2, '2023-11-10': 1, '2023-11-11': 2, '2023-11-12': 5, '2023-11-13': None, '2023-11-14': 1, '2023-11-15': 2, '2023-11-16': 0, '2023-11-17': 0, '2023-11-18': 1, '2023-11-19': 3, '2023-11-20': 2, '2023-11-21': 0, '2023-11-22': 1, '2023-11-23': 0, '2023-11-24': 2, '2023-11-25': 2, '2023-11-26': 2, '2023-11-27': 1, '2023-11-28': None, '2023-11-29': 1, '2023-11-30': 1, '2023-12-01': 2, '2023-12-02': 1, '2023-12-03': 2, '2023-12-04': 2, '2023-12-05': 2, '2023-12-06': None, '2023-12-07': 0, '2023-12-08': 4, '2023-12-09': 4, '2023-12-10': 2, '2023-12-11': 1, '2023-12-12': 5, '2023-12-13': 1, '2023-12-14': 0, '2023-12-15': 0, '2023-12-16': 0, '2023-12-17': 0, '2023-12-18': 0, '2023-12-19': 1, '2023-12-20': 0, '2023-12-21': 4, '2023-12-22': 1}"
Estadio de Atletismo de Albacete,"Estadio de Atletismo de Albacete is a sports facility in the  city of Albacete, in Spain. It is owne",731,1,797,134,2,"{'2023-10-24': 0, '2023-10-25': None, '2023-10-26': 0, '2023-10-27': 0, '2023-10-28': None, '2023-10-29': None, '2023-10-30': None, '2023-10-31': 1, '2023-11-01': None, '2023-11-02': 0, '2023-11-03': 1, '2023-11-04': 0, '2023-11-05': 0, '2023-11-06': 1, '2023-11-07': 1, '2023-11-08': 0, '2023-11-09': 0, '2023-11-10': 0, '2023-11-11': None, '2023-11-12': None, '2023-11-13': None, '2023-11-14': 0, '2023-11-15': 0, '2023-11-16': 0, '2023-11-17': 0, '2023-11-18': None, '2023-11-19': 0, '2023-11-20': None, '2023-11-21': 0, '2023-11-22': None, '2023-11-23': 0, '2023-11-24': None, '2023-11-25': 1, '2023-11-26': 0, '2023-11-27': None, '2023-11-28': 1, '2023-11-29': 0, '2023-11-30': None, '2023-12-01': 0, '2023-12-02': 1, '2023-12-03': 0, '2023-12-04': 0, '2023-12-05': 0, '2023-12-06': None, '2023-12-07': 1, '2023-12-08': None, '2023-12-09': 0, '2023-12-10': None, '2023-12-11': 1, '2023-12-12': 1, '2023-12-13': 1, '2023-12-14': None, '2023-12-15': 1, '2023-12-16': None, '2023-12-17': 0, '2023-12-18': 0, '2023-12-19': None, '2023-12-20': None, '2023-12-21': 0, '2023-12-22': 1}"
Sandhya Mukherjee,Geetashree Sandhya Mukherjee (also spelled Mukhopadhyay; 4 October 1931 – 15 February 2022) was an I,410,10,5008,819,10,"{'2023-10-24': 53, '2023-10-25': 49, '2023-10-26': 32, '2023-10-27': 25, '2023-10-28': 103, '2023-10-29': 69, '2023-10-30': 57, '2023-10-31': 22, '2023-11-01': 41, '2023-11-02': 61, '2023-11-03': 66, '2023-11-04': 56, '2023-11-05': 51, '2023-11-06': 59, '2023-11-07': 58, '2023-11-08': 44, '2023-11-09': 42, '2023-11-10': 45, '2023-11-11': 50, '2023-11-12': 30, '2023-11-13': 55, '2023-11-14': 51, '2023-11-15': 38, '2023-11-16': 38, '2023-11-17': 56, '2023-11-18': 97, '2023-11-19': 39, '2023-11-20': 35, '2023-11-21': 74, '2023-11-22': 64, '2023-11-23': 37, '2023-11-24': 37, '2023-11-25': 60, '2023-11-26': 45, '2023-11-27': 56, '2023-11-28': 45, '2023-11-29': 40, '2023-11-30': 38, '2023-12-01': 42, '2023-12-02': 42, '2023-12-03': 62, '2023-12-04': 61, '2023-12-05': 48, '2023-12-06': 43, '2023-12-07': 50, '2023-12-08': 32, '2023-12-09': 36, '2023-12-10': 32, '2023-12-11': 44, '2023-12-12': 47, '2023-12-13': 41, '2023-12-14': 42, '2023-12-15': 50, '2023-12-16': 47, '2023-12-17': 54, '2023-12-18': 27, '2023-12-19': 31, '2023-12-20': 44, '2023-12-21': 40, '2023-12-22': 37}"
Castelbaldo,"Castelbaldo is a comune (municipality) in the Province of Padua in the Italian region Veneto, locate",308,0,308,46,45,"{'2023-10-24': 1, '2023-10-25': 2, '2023-10-26': 0, '2023-10-27': 1, '2023-10-28': 2, '2023-10-29': 0, '2023-10-30': None, '2023-10-31': 0, '2023-11-01': 2, '2023-11-02': 0, '2023-11-03': 3, '2023-11-04': 0, '2023-11-05': 0, '2023-11-06': 1, '2023-11-07': 1, '2023-11-08': 0, '2023-11-09': 1, '2023-11-10': 0, '2023-11-11': None, '2023-11-12': 1, '2023-11-13': 1, '2023-11-14': 0, '2023-11-15': 3, '2023-11-16': 2, '2023-11-17': 2, '2023-11-18': 0, '2023-11-19': 0, '2023-11-20': 0, '2023-11-21': 0, '2023-11-22': 0, '2023-11-23': 0, '2023-11-24': 1, '2023-11-25': 1, '2023-11-26': None, '2023-11-27': 0, '2023-11-28': 0, '2023-11-29': 2, '2023-11-30': 0, '2023-12-01': 0, '2023-12-02': 0, '2023-12-03': 0, '2023-12-04': 0, '2023-12-05': 0, '2023-12-06': 1, '2023-12-07': 1, '2023-12-08': 1, '2023-12-09': 0, '2023-12-10': 3, '2023-12-11': 2, '2023-12-12': 0, '2023-12-13': 0, '2023-12-14': 0, '2023-12-15': 1, '2023-12-16': 1, '2023-12-17': 0, '2023-12-18': 2, '2023-12-19': 1, '2023-12-20': 1, '2023-12-21': 1, '2023-12-22': 1}"
NGC 4147,NGC 4147 is the New General Catalogue identifier for a globular cluster of stars in the northern con,1577,2,1652,268,27,"{'2023-10-24': 2, '2023-10-25': 2, '2023-10-26': 5, '2023-10-27': 1, '2023-10-28': 0, '2023-10-29': 2, '2023-10-30': 0, '2023-10-31': 2, '2023-11-01': 3, '2023-11-02': 2, '2023-11-03': 2, '2023-11-04': 3, '2023-11-05': 1, '2023-11-06': 2, '2023-11-07': 4, '2023-11-08': 3, '2023-11-09': 1, '2023-11-10': 3, '2023-11-11': 1, '2023-11-12': 3, '2023-11-13': 4, '2023-11-14': 2, '2023-11-15': 4, '2023-11-16': 4, '2023-11-17': 1, '2023-11-18': 4, '2023-11-19': 4, '2023-11-20': 1, '2023-11-21': 2, '2023-11-22': 2, '2023-11-23': 4, '2023-11-24': 2, '2023-11-25': 3, '2023-11-26': 1, '2023-11-27': 3, '2023-11-28': 2, '2023-11-29': 0, '2023-11-30': 0, '2023-12-01': 4, '2023-12-02': 0, '2023-12-03': 1, '2023-12-04': 2, '2023-12-05': 1, '2023-12-06': 2, '2023-12-07': 5, '2023-12-08': 2, '2023-12-09': 2, '2023-12-10': 2, '2023-12-11': 4, '2023-12-12': 2, '2023-12-13': 3, '2023-12-14': 5, '2023-12-15': 1, '2023-12-16': 4, '2023-12-17': 2, '2023-12-18': 3, '2023-12-19': 2, '2023-12-20': 0, '2023-12-21': 0, '2023-12-22': 2}"
